Nom,Province,Identification Climat,Identification Station,Identification OMM,Identification TC,Latitude (degres decimaux),Longitude (degres decimaux),Latitude,Longitude,Altitude (m),Annee de debut,Annee de fin,Annee de debut HLY,Annee de fin HLY,Annee de debut DLY,Annee de fin DLY,Annee de debut MLY,Annee de fin MLY
ST COME,QUEBEC,7017080,5268,,,46.28,-73.75,461700000,-734500000,244.0,1950,2020,,,1950.0,2020.0,1950.0,2018.0
ST DONAT,QUEBEC,7017100,5269,,,46.32,-74.2,461900000,-741200000,388.6,1964,2014,,,1964.0,2014.0,1964.0,2014.0
STE ELIZABETH,QUEBEC,7017148,5270,,,46.07,-73.37,460400000,-732200000,45.7,1979,1985,,,1979.0,1985.0,1979.0,1985.0
ST ETIENNE DES GRES,QUEBEC,7017220,5271,,,46.45,-72.8,462700000,-724800000,106.7,1957,1960,,,1957.0,1960.0,1957.0,1960.0
STE FOY,QUEBEC,7017265,5272,,,46.75,-71.27,464500000,-711600000,91.4,1958,1972,,,1958.0,1972.0,1958.0,1972.0
ST GABRIEL DE BRANDON,QUEBEC,7017270,5273,,,46.3,-73.38,461800000,-732300000,198.1,1919,1985,,,1919.0,1985.0,1919.0,1985.0
ST JACQUES,QUEBEC,7017380,5274,,,45.95,-73.58,455700000,-733500000,69.0,1957,2018,,,1957.0,2018.0,1957.0,2016.0
ST JANVIER,QUEBEC,7017386,5275,,,45.73,-73.88,454400000,-735300000,61.0,1973,2016,,,1973.0,2016.0,1973.0,2016.0
ST JOSEPH DE MEKINAC,QUEBEC,7017422,5276,,,46.92,-72.68,465500000,-724100000,121.9,1973,1994,,,1973.0,1994.0,1973.0,1994.0
ST JUSTIN,QUEBEC,7017435,5277,,,46.27,-73.1,461600000,-730600000,46.0,1973,1994,,,1973.0,1994.0,1973.0,1994.0
ST LAZARE,QUEBEC,7017445,5278,,,45.4,-74.2,452400000,-741200000,99.1,1963,1985,,,1963.0,1985.0,1963.0,1985.0
SAINT-LIN-LAURENTIDES,QUEBEC,7017479,42903,,MLT,45.85,-73.7,455051547,-734150989,50.0,2004,2007,2004.0,2007.0,,,,
ST LIN DES LAURENTIDES,QUEBEC,7017480,5279,,,45.85,-73.75,455100000,-734500000,64.0,1913,1981,,,1913.0,1981.0,1913.0,1981.0
ST MATHIEU,QUEBEC,7017555,5280,,,46.58,-72.93,463500000,-725600000,167.6,1978,1994,,,1978.0,1994.0,1978.0,1994.0
ST NARCISSE,QUEBEC,7017585,5281,,,46.53,-72.43,463200000,-722600000,46.0,1973,2021,,,1973.0,2021.0,1973.0,2018.0
ST PAULIN,QUEBEC,7017640,5282,,,46.42,-73.02,462500000,-730100000,167.0,1950,1991,,,1950.0,1991.0,1951.0,1991.0
ST PLACIDE,QUEBEC,7017657,5283,,,45.55,-74.2,453300000,-741200000,40.0,1973,1994,,,1973.0,1994.0,1973.0,1994.0
STE THERESE SEMINAIRE,QUEBEC,7017753,5284,,,45.63,-73.85,453800000,-735100000,45.7,1960,1961,,,1960.0,1961.0,1961.0,1961.0
STE THERESE OUEST,QUEBEC,7017755,5285,,,45.65,-73.88,453900000,-735300000,61.0,1961,2010,,,1961.0,2010.0,1961.0,2010.0
ST THOMAS DE CAXTON,QUEBEC,7017757,5286,,,46.37,-72.8,462200000,-724800000,53.0,1980,1991,,,1980.0,1991.0,1981.0,1991.0
ST TITE,QUEBEC,7017760,5287,,,46.73,-72.57,464400000,-723400000,141.7,1920,1985,,,1920.0,1985.0,1920.0,1985.0
ST UBALD,QUEBEC,7017767,5288,,,46.68,-72.32,464100000,-721900000,,1963,1964,,,1963.0,1964.0,1963.0,1964.0
ST ZENON,QUEBEC,7017786,5289,,,46.62,-73.87,463700000,-735200000,442.0,1973,1994,,,1973.0,1994.0,1973.0,1994.0
STE FOY MATAPEDIA,QUEBEC,7017B65,5265,,,46.75,-71.28,464500000,-711700000,45.7,1971,1984,,,1971.0,1984.0,1971.0,1984.0
STE FOY (PIE XII),QUEBEC,7017BFN,5264,,,46.78,-71.32,464700000,-711900000,79.2,1972,1996,,,1972.0,1996.0,1972.0,1996.0
SHAWINIGAN,QUEBEC,7018000,5290,,,46.57,-72.75,463400000,-724500000,121.9,1902,2004,,,1902.0,2004.0,1902.0,2004.0
SHAWINIGAN,QUEBEC,7018001,27646,71370.0,XSH,46.56,-72.73,463348000,-724400000,110.0,1998,2021,1999.0,2021.0,1998.0,2021.0,,
TERREBONNE HEIGHTS,QUEBEC,7018410,5291,,,45.75,-73.63,454500000,-733800000,53.3,1961,1963,,,1961.0,1963.0,1962.0,1963.0
TROIS RIVIERES A-2,QUEBEC,7018560,52138,,,46.35,-72.67,462100000,-724000000,0.0,2014,2021,,,2014.0,2021.0,,
TROIS RIVIERES A,QUEBEC,7018561,51698,,YRQ,46.35,-72.68,462106000,-724050000,60.7,2013,2021,2013.0,2021.0,2018.0,2021.0,,
TROIS-RIVIERES,QUEBEC,7018562,10764,71724.0,WTY,46.35,-72.52,462113000,-723058000,6.0,1993,2021,1994.0,2021.0,1993.0,2021.0,2005.0,2005.0
TROIS-RIVIERES,QUEBEC,7018563,8321,71729.0,GRQ,46.37,-72.68,462200000,-724100000,62.2,1963,2021,1963.0,2021.0,2004.0,2021.0,,
TROIS RIVIERES,QUEBEC,7018564,5292,,,46.37,-72.6,462200000,-723600000,53.3,1934,1986,,,1934.0,1986.0,1934.0,1986.0
VALCARTIER,QUEBEC,7018572,10965,,WQG,46.9,-71.5,465400000,-713000000,167.9,1994,2008,1994.0,1999.0,1994.0,2008.0,,
VALCARTIER A,QUEBEC,7018573,29452,71716.0,YOY,46.9,-71.5,465401000,-713012000,167.6,2000,2021,2000.0,2021.0,2013.0,2021.0,,
VALCARTIER A,QUEBEC,7018574,5293,71716.0,YOY,46.9,-71.5,465400000,-713000000,167.6,1978,2021,1978.0,2021.0,1978.0,1981.0,1978.0,1981.0
VALCARTIER FES,QUEBEC,7018577,5294,,,46.95,-71.5,465700000,-713000000,184.4,1955,1977,,,1955.0,1977.0,1955.0,1977.0
VAUDREUIL,QUEBEC,7018697,5295,,,45.4,-74.03,452400000,-740200000,27.4,1968,1972,,,1968.0,1972.0,1968.0,1971.0
VILLENEUVE,QUEBEC,7018762,5296,,,46.87,-71.17,465200000,-711000000,2.0,1985,1988,,,1985.0,1988.0,1985.0,1987.0
VILLEROY RADAR,QUEBEC,7018765,8678,,WVY,46.45,-71.92,462700000,-715500000,100.0,1991,1992,1991.0,1992.0,,,,
VILLEROY (STE-FRANCOISE),QUEBEC,7018766,10812,,,46.3,-72.06,461813300,-720338600,96.7,1993,1999,1994.0,1999.0,1993.0,1999.0,,
COURVILLE DE POISSY,QUEBEC,701A9E0,5200,,,46.88,-71.17,465300000,-711000000,114.3,1974,1982,,,1974.0,1982.0,1974.0,1982.0
DALHOUSIE STATION,QUEBEC,701A9EC,5199,,,45.3,-74.47,451800000,-742800000,70.0,1974,1994,,,1974.0,1994.0,1976.0,1994.0
TROIS RIVIERES AQUEDUC,QUEBEC,701HE63,5201,,,46.38,-72.62,462300000,-723700000,54.9,1974,2009,,,1974.0,2009.0,1974.0,2009.0
DE BEAUJEU,QUEBEC,701J9NM,5202,,,45.33,-74.33,452000000,-742000000,61.0,1973,1974,,,1973.0,1974.0,1973.0,1973.0
ILE AUX GRUES,QUEBEC,701LBPH,10247,,WIG,47.07,-70.53,470425000,-703159000,18.3,1994,2021,1994.0,2021.0,2018.0,2021.0,,
LAC AUX SABLES,QUEBEC,701LEEH,5203,,,46.87,-72.4,465200000,-722400000,160.0,1964,2021,,,1964.0,2021.0,1964.0,2018.0
LA COURVILLOISE,QUEBEC,701LF83,5204,,,46.9,-71.15,465400000,-710900000,114.0,1988,1991,,,1988.0,1991.0,1988.0,1991.0
